scope,group,n,answered,refused,faithfulness,answer_relevancy,anti_hallucination,generated_at
OVERALL,baseline_no_filter,67,60,7,0.677,0.703,1.000,2026-06-14T14:04:06
OVERALL,all_with_filtered,100,91,9,0.630,0.652,1.000,2026-06-14T14:04:06
CATEGORY,finance,22,22,0,0.595,0.641,-,2026-06-14T14:04:06
CATEGORY,health,20,19,1,0.758,0.753,1.000,2026-06-14T14:04:06
CATEGORY,inet,20,16,4,0.525,0.525,1.000,2026-06-14T14:04:06
CATEGORY,news,17,16,1,0.588,0.594,1.000,2026-06-14T14:04:06
CATEGORY,sport,21,18,3,0.667,0.722,1.000,2026-06-14T14:04:06
SENTIMENT,negatif,11,11,0,0.682,0.736,-,2026-06-14T14:04:06
SENTIMENT,netral,11,10,1,0.460,0.490,1.000,2026-06-14T14:04:06
SENTIMENT,positif,11,10,1,0.460,0.410,1.000,2026-06-14T14:04:06
SENTIMENT,no-filter,67,60,7,0.677,0.703,1.000,2026-06-14T14:04:06
